time,open,high,low,close,volume
2020-03-31 19:00,1.10197,1.10319,1.10029,1.10318,13326
2020-03-31 20:00,1.10317,1.10371,1.10165,1.10299,4824
2020-03-31 21:00,1.10286,1.10390,1.10271,1.10286,865
2020-03-31 22:00,1.10291,1.10359,1.10223,1.10230,3764
2020-03-31 23:00,1.10232,1.10372,1.10227,1.10259,6124
2020-04-01 00:00,1.10260,1.10361,1.10221,1.10312,10440
2020-04-01 01:00,1.10313,1.10328,1.10090,1.10151,9210
2020-04-01 02:00,1.10152,1.10285,1.10056,1.10245,9238
2020-04-01 03:00,1.10245,1.10310,1.10160,1.10195,8961
2020-04-01 04:00,1.10195,1.10291,1.10153,1.10163,6888
2020-04-01 05:00,1.10163,1.10329,1.10153,1.10242,9060
2020-04-01 06:00,1.10243,1.10267,1.09812,1.09827,14313
2020-04-01 07:00,1.09829,1.09920,1.09583,1.09596,20578
2020-04-01 08:00,1.09595,1.09676,1.09310,1.09566,17841
2020-04-01 09:00,1.09568,1.09592,1.09165,1.09334,19863
2020-04-01 10:00,1.09333,1.09463,1.09309,1.09428,13451
2020-04-01 11:00,1.09427,1.09490,1.09270,1.09409,12603
2020-04-01 12:00,1.09409,1.09425,1.09208,1.09297,18399
2020-04-01 13:00,1.09298,1.09337,1.09205,1.09298,15982
2020-04-01 14:00,1.09298,1.09417,1.09183,1.09212,22135
2020-04-01 15:00,1.09211,1.09423,1.09166,1.09329,12160
2020-04-01 16:00,1.09329,1.09376,1.09221,1.09253,6295
2020-04-01 17:00,1.09252,1.09252,1.09026,1.09197,10556
2020-04-01 18:00,1.09195,1.09400,1.09188,1.09294,8093
2020-04-01 19:00,1.09291,1.09579,1.09284,1.09476,9569
2020-04-01 20:00,1.09473,1.09697,1.09464,1.09616,5022
2020-04-01 21:00,1.09619,1.09684,1.09407,1.09445,1855
2020-04-01 22:00,1.09447,1.09594,1.09438,1.09559,4742
2020-04-01 23:00,1.09559,1.09559,1.09457,1.09513,4973
2020-04-02 00:00,1.09514,1.09527,1.09384,1.09427,7542
2020-04-02 01:00,1.09427,1.09591,1.09402,1.09404,6215
2020-04-02 02:00,1.09402,1.09451,1.09326,1.09341,5792
2020-04-02 03:00,1.09341,1.09399,1.09302,1.09389,5522
2020-04-02 04:00,1.09389,1.09449,1.09345,1.09442,2698
2020-04-02 05:00,1.09440,1.09502,1.09408,1.09463,6784
2020-04-02 06:00,1.09464,1.09644,1.09341,1.09366,10429
2020-04-02 07:00,1.09364,1.09527,1.09316,1.09322,14810
2020-04-02 08:00,1.09323,1.09345,1.09147,1.09189,16116
2020-04-02 09:00,1.09188,1.09397,1.09147,1.09349,11732
2020-04-02 10:00,1.09349,1.09376,1.09143,1.09199,13667
2020-04-02 11:00,1.09199,1.09292,1.09079,1.09134,16225
2020-04-02 12:00,1.09134,1.09152,1.08750,1.08796,25313
2020-04-02 13:00,1.08796,1.08823,1.08404,1.08514,24388
2020-04-02 14:00,1.08513,1.09002,1.08436,1.08623,39278
2020-04-02 15:00,1.08622,1.08811,1.08440,1.08616,20692
2020-04-02 16:00,1.08618,1.08737,1.08370,1.08415,19338
2020-04-02 17:00,1.08416,1.08485,1.08255,1.08258,11823
2020-04-02 18:00,1.08260,1.08515,1.08206,1.08514,11192
2020-04-02 19:00,1.08513,1.08577,1.08413,1.08495,11742
2020-04-02 20:00,1.08495,1.08666,1.08452,1.08561,4118
2020-04-02 21:00,1.08557,1.08645,1.08511,1.08529,1294
2020-04-02 22:00,1.08530,1.08586,1.08499,1.08499,3049
2020-04-02 23:00,1.08499,1.08509,1.08421,1.08460,3470
2020-04-03 00:00,1.08459,1.08459,1.08330,1.08423,6980
2020-04-03 01:00,1.08423,1.08553,1.08394,1.08534,6508
2020-04-03 02:00,1.08533,1.08549,1.08480,1.08542,5012
2020-04-03 03:00,1.08540,1.08544,1.08395,1.08453,5395
2020-04-03 04:00,1.08452,1.08483,1.08366,1.08436,5479
2020-04-03 05:00,1.08436,1.08512,1.08383,1.08474,6015
2020-04-03 06:00,1.08474,1.08474,1.08235,1.08276,11846
2020-04-03 07:00,1.08277,1.08312,1.07875,1.07902,20818
2020-04-03 08:00,1.07902,1.08064,1.07871,1.07981,17114
2020-04-03 09:00,1.07981,1.08141,1.07866,1.08129,19764
2020-04-03 10:00,1.08130,1.08160,1.08000,1.08010,12899
2020-04-03 11:00,1.08009,1.08037,1.07844,1.07888,16956
2020-04-03 12:00,1.07890,1.08063,1.07753,1.07761,29119
2020-04-03 13:00,1.07761,1.07981,1.07753,1.07894,21363
2020-04-03 14:00,1.07893,1.08059,1.07727,1.07975,20078
2020-04-03 15:00,1.07975,1.08093,1.07815,1.07978,15683
2020-04-03 16:00,1.07979,1.07979,1.07782,1.07870,12227
2020-04-03 17:00,1.07872,1.08008,1.07819,1.07982,8738
2020-04-03 18:00,1.07982,1.08161,1.07961,1.08104,9959
2020-04-03 19:00,1.08103,1.08282,1.08081,1.08092,6435
2020-04-03 20:00,1.08098,1.08173,1.07955,1.07955,5696
2020-04-05 21:00,1.08082,1.08191,1.08082,1.08116,410
2020-04-05 22:00,1.08106,1.08214,1.08026,1.08175,13292
2020-04-05 23:00,1.08176,1.08189,1.08040,1.08053,9474
2020-04-06 00:00,1.08053,1.08232,1.07985,1.08143,15273
2020-04-06 01:00,1.08143,1.08209,1.08129,1.08170,9782
2020-04-06 02:00,1.08171,1.08183,1.08054,1.08117,7786
2020-04-06 03:00,1.08117,1.08218,1.08106,1.08147,8161
2020-04-06 04:00,1.08148,1.08233,1.08101,1.08145,8227
2020-04-06 05:00,1.08145,1.08354,1.08119,1.08262,12725
2020-04-06 06:00,1.08261,1.08262,1.08085,1.08099,14867
2020-04-06 07:00,1.08100,1.08308,1.08068,1.08175,15442
2020-04-06 08:00,1.08175,1.08175,1.07831,1.07930,18106
2020-04-06 09:00,1.07930,1.08129,1.07899,1.08117,13301
2020-04-06 10:00,1.08119,1.08180,1.07993,1.08003,12850
2020-04-06 11:00,1.08003,1.08134,1.07883,1.07992,14002
2020-04-06 12:00,1.07991,1.08061,1.07796,1.07919,17053
2020-04-06 13:00,1.07918,1.08026,1.07683,1.08023,18087
2020-04-06 14:00,1.08022,1.08092,1.07777,1.07853,21646
2020-04-06 15:00,1.07853,1.08177,1.07827,1.08067,10898
2020-04-06 16:00,1.08068,1.08082,1.07936,1.08018,11744
2020-04-06 17:00,1.08018,1.08057,1.07881,1.07994,7946
2020-04-06 18:00,1.07994,1.08029,1.07956,1.07962,7123
2020-04-06 19:00,1.07963,1.07988,1.07826,1.07981,12236
2020-04-06 20:00,1.07981,1.07996,1.07898,1.07920,2891
2020-04-06 21:00,1.07920,1.07954,1.07920,1.07936,1818
2020-04-06 22:00,1.07941,1.07946,1.07835,1.07849,5753
2020-04-06 23:00,1.07850,1.08020,1.07843,1.07988,6852
2020-04-07 00:00,1.07988,1.08019,1.07904,1.07937,10616
2020-04-07 01:00,1.07937,1.08093,1.07908,1.08065,8382
2020-04-07 02:00,1.08065,1.08097,1.08039,1.08078,6838
2020-04-07 03:00,1.08078,1.08184,1.08069,1.08144,7306
2020-04-07 04:00,1.08145,1.08301,1.08113,1.08261,9444
2020-04-07 05:00,1.08261,1.08406,1.08207,1.08293,10364
2020-04-07 06:00,1.08291,1.08618,1.08231,1.08589,15921
2020-04-07 07:00,1.08590,1.08785,1.08542,1.08777,20496
2020-04-07 08:00,1.08776,1.08778,1.08517,1.08680,12937
2020-04-07 09:00,1.08679,1.08788,1.08572,1.08740,12537
2020-04-07 10:00,1.08739,1.08929,1.08730,1.08780,13328
2020-04-07 11:00,1.08779,1.08821,1.08603,1.08773,13353
